Longitude,Latitude,Town,Location,StartDate,StartTime,EndDate,EndTime,Crime,CrimeType
80.624283,7.323781,Katugastota,Manikkumbura market,2020-09-02,7:30,,,Cutting with a knife,Assault
80.625742,7.325952,Katugastota,Boc Building,2020-07-20,13:00,2020-09-03,11:30,"Breaking into a house and stealing property worth 38,000",Burglary
80.578864,7.319055,Werallagama,,2017-08-05,,,,"Breaking trust and using a fake check worth 1,095,490",Fraud
80.564739,7.335182,Hedeniya,,2020-09-06,14:00,,,Abduction and beating up after misleading with false SMS and engaging in physical assault,Abduction
80.602024,7.324071,Wathuwala,,2020-07-07,9:30,2020-07-08,2:00,Abduction and raping a 15yr old girl for a ralationship,Rape
80.564739,7.335182,Palkumbura,,2020-07-18,20:30,2020-07-19,20:30,Abduction and raping a 15yr old girl by Uncle,Rape
80.615696,7.353901,Hapugoda,,2020-09-10,12:10,,,"Forcefully entering a house and ripping a gold necklace worth 250,000 from a woman",Robbery
80.564739,7.335182,Aladeniya,,2020-09-10,11:30,2020-09-10,13:30,Breaking into a house and stealing property,Burglary
80.638029,7.34366,Millanga Junction,,2020-09-05,21:30,,,"""Beating up with a club and stealing a gold necklace",Robbery
80.628854,7.328358,Kahalla,,2020-09-11,22:00,2020-09-12,2:00,"Breaking into a house and stealing property worth 47,250,000",Burglary
80.632454,7.329192,Nawayalathenna,Station Road,2020-09-12,2:00,2020-09-12,6:30,Breaking into a house and stealing property,Burglary
80.628854,7.328358,Kahalla,,2020-09-14,,,,"Breaking into a house and stealing property worth 44,000",Burglary
80.628854,7.328358,Kahalla,,2020-08-04,,2020-09-14,,"Stealing 30,000 worth of iron pipes from a construction site",Theft
80.625742,7.325952,Katugastota,Hospital,2020-07-21,2:00,,,A patient scolding and beating up an attendant,Assault
80.585494,7.328943,Thiththapajjala,,2020-09-15,7:00,2020-09-15,14:00,"Breaking into a house and stealing property worth 410,000",Burglary
80.62368,7.321494,Katugastota,Gohagoda Road,2020-09-16,22:45,,,Raping a 24yr old woman by a person introduced by an female ayurvedic doctor who claims to give a job,Rape
80.585494,7.328943,Naiappana,,2020-09-16,19:00,2020-09-17,6:10,"Stealing batteries worth 59,900 from a parked bus",Theft
80.628854,7.328358,Kahalla,,2020-09-18,22:30,,,"Keeping 6,080mg of heroin and distributing on a motorbike",Drug
80.585467,7.345114,Gonigoda,,2020-09-19,15:00,,,Cutting with a knife,Assault
80.585494,7.328943,Nugawela,Near Dilum Amunugama House,2019-02-11,23:00,2017-08-25,22:00,Wounding with a glass bottle,Assault
80.62368,7.321494,Katugastota,Near Rahula College,2020-09-23,17:30,,,"Causing damage worth 108,800 to a car with brooms",Vandalism
80.585467,7.345114,Rajapihilla,Ranawana Road,2017-08-23,8:15,2017-08-25,22:00,Abductiong and raping a 15 yr old girl,Rape
80.615696,7.353901,Bokalawela,Uduwawala,2020-09-25,23:00,2020-09-25,23:30,Cutting with a gang using swords after a party,Assault
80.646653,7.325929,Waththegedara,Boondi factoryy,2020-09-27,20:00,,,Beating up and kidnappingin a three-wheeler,Kidnapping
80.615696,7.353901,Ambatenna,,2020-09-27,21:00,,,"Taking 9,500 by threatening",Robbery
80.602024,7.324071,Wathuwala,,2020-09-27,20:00,2020-09-28,5:00,Breaking into a house,Burglary
80.612965,7.304321,Hamangoda,,2020-09-29,13:45,,,"Breaking into a house and stealing property worth 7,000",Burglary
80.602024,7.324071,Kulugammana,,2020-09-28,12:15,2020-09-28,13:00,"Taking gold worth 97,600 and 7,000 by threatening",Robbery
80.615696,7.353901,Ambatenna,,2020-09-27,10:25,,,"Damaging a bus worth 31,500",Vandalism
80.578864,7.319055,Yahalathenna,,2020-10-02,20:30,,,Wounding by hitting with an axe,Assault
80.633779,7.315139,Nittawela,,2020-10-03,21:00,2020-10-04,7:30,"Breaking into a house and stealing property worth 7,000",Burglary
80.60994,7.334379,Uduwawala,,2020-10-01,,,,"Trespassing onto land and cutting down hawari nuga trees worth 60,000",Trespassing
80.585494,7.328943,Nugawela,,2020-10-08,12:00,,,Biting and beating with a club,Assault
80.602024,7.324071,Kulugammana,,2020-10-08,18:30,,,"aking 23,000 and a phone worth 8,000 by threatening",Robbery
80.646653,7.325929,Polgolla,,2020-10-03,20:30,2020-10-03,21:00,Attempting to murder wife by placing a cloth inside the mouth and strangling with a wire,AttemptedMurder
80.600787,7.303278,Halloluwa,Gal wanguwa,2020-10-10,19:00,2020-10-11,6:30,"Stealing a 60,000 LKR battery from a bus",Theft
80.600787,7.303278,Halloluwa,,2020-10-10,19:30,2020-10-11,7:30,"Stealing a 39,000 LKR battery from a bus",Theft
80.60994,7.334379,Ranawana,,2020-10-12,10:30,,,Cutting with a knife,Assault
80.60994,7.334379,Uduwawala,,2020-10-12,16:00,,,"Stealing 60,000 LKR worth of two phones",Theft
80.636703,7.322436,Mawilmada,,2020-10-06,,2020-10-07,,"Causing damage worth 441,963 LKR by adding cement to a cab's injector",Vandalism
